Calibration values (ps) from cell 0 to 1024 :

00441.029	00442.036	00443.043	00444.049	00445.054	00446.048	00447.031	00448.011	cell = 440 to 447
00448.981	00449.960	00450.957	00451.952	00452.948	00453.934	00454.898	00455.859	cell = 448 to 455
00456.826	00457.799	00458.773	00459.739	00460.729	00461.732	00462.736	00463.744	cell = 456 to 463
00464.753	00465.758	00466.761	00467.754	00468.754	00469.751	00470.744	00471.726	cell = 464 to 471
00472.714	00473.719	00474.727	00475.737	00476.746	00477.735	00478.719	00479.721	cell = 472 to 479
00480.733	00481.752	00482.768	00483.769	00484.764	00485.742	00486.701	00487.666	cell = 480 to 487
00488.634	00489.609	00490.602	00491.609	00492.616	00493.640	00494.673	00495.672	cell = 488 to 495
00496.664	00497.668	00498.675	00499.668	00500.651	00501.625	00502.585	00503.550	cell = 496 to 503
00504.521	00505.521	00506.543	00507.571	00508.578	00509.558	00510.522	00511.480	cell = 504 to 511
00512.444	00513.376	00514.313	00515.290	00516.283	00517.259	00518.234	00519.183	cell = 512 to 519
00520.136	00521.081	00522.050	00523.044	00524.040	00525.027	00526.002	00526.964	cell = 520 to 527
00527.931	00528.916	00529.930	00530.939	00531.940	00532.951	00533.964	00534.963	cell = 528 to 535
00535.962	00536.974	00537.979	00538.991	00539.985	00540.974	00541.962	00542.940	cell = 536 to 543
00543.913	00544.885	00545.859	00546.862	00547.881	00548.890	00549.905	00550.900	cell = 544 to 551
00551.900	00552.898	00553.913	00554.922	00555.916	00556.908	00557.906	00558.911	cell = 552 to 559
00559.926	00560.930	00561.950	00562.974	00564.000	00565.029	00566.035	00567.025	cell = 560 to 567
00568.000	00568.971	00569.940	00570.933	00571.936	00572.927	00573.914	00574.905	cell = 568 to 575
00575.914	00576.924	00577.931	00578.930	00579.934	00580.944	00581.940	00582.931	cell = 576 to 583
00583.913	00584.901	00585.907	00586.917	00587.928	00588.938	00589.933	00590.911	cell = 584 to 591
00591.886	00592.874	00593.855	00594.829	00595.795	00596.774	00597.762	00598.738	cell = 592 to 599
00599.698	00600.671	00601.676	00602.691	00603.704	00604.697	00605.672	00606.640	cell = 600 to 607
00607.612	00608.603	00609.606	00610.615	00611.610	00612.605	00613.606	00614.607	cell = 608 to 615
00615.607	00616.595	00617.594	00618.615	00619.641	00620.655	00621.667	00622.665	cell = 616 to 623
00623.656	00624.670	00625.697	00626.701	00627.680	00628.648	00629.615	00630.576	cell = 624 to 631
00631.549	00632.531	00633.523	00634.526	00635.541	00636.557	00637.553	00638.543	cell = 632 to 639
00639.533	00640.499	00641.455	00642.422	00643.431	00644.415	00645.399	00646.402	cell = 640 to 647
00647.402	00648.379	00649.363	00650.370	00651.398	00652.409	00653.409	00654.406	cell = 648 to 655
00655.390	00656.372	00657.358	00658.351	00659.342	00660.362	00661.364	00662.330	cell = 656 to 663
00663.295	00664.281	00665.273	00666.268	00667.298	00668.350	00669.379	00670.395	cell = 664 to 671
00671.421	00672.439	00673.443	00674.442	00675.445	00676.434	00677.398	00678.363	cell = 672 to 679
00679.335	00680.305	00681.291	00682.298	00683.280	00684.258	00685.237	00686.206	cell = 680 to 687
00687.188	00688.166	00689.170	00690.155	00691.131	00692.114	00693.117	00694.122	cell = 688 to 695
00695.123	00696.121	00697.139	00698.153	00699.154	00700.143	00701.128	00702.134	cell = 696 to 703
00703.166	00704.211	00705.238	00706.246	00707.231	00708.197	00709.146	00710.121	cell = 704 to 711
00711.090	00712.059	00713.040	00714.030	00715.023	00716.037	00717.065	00718.106	cell = 712 to 719
00719.173	00720.242	00721.294	00722.307	00723.301	00724.287	00725.292	00726.318	cell = 720 to 727
00727.329	00728.347	00729.360	00730.385	00731.401	00732.409	00733.422	00734.439	cell = 728 to 735
00735.465	00736.488	00737.488	00738.469	00739.430	00740.405	00741.401	00742.417	cell = 736 to 743
00743.432	00744.423	00745.400	00746.395	00747.413	00748.441	00749.449	00750.459	cell = 744 to 751
00751.487	00752.515	00753.540	00754.541	00755.518	00756.502	00757.515	00758.545	cell = 752 to 759
00759.570	00760.593	00761.595	00762.585	00763.585	00764.605	00765.616	00766.612	cell = 760 to 767
00767.602	00768.612	00769.623	00770.621	00771.603	00772.565	00773.523	00774.517	cell = 768 to 775
00775.525	00776.527	00777.520	00778.510	00779.493	00780.469	00781.458	00782.471	cell = 776 to 783
00783.472	00784.467	00785.478	00786.509	00787.528	00788.535	00789.568	00790.605	cell = 784 to 791
00791.641	00792.665	00793.660	00794.639	00795.616	00796.593	00797.575	00798.556	cell = 792 to 799
00799.548	00800.550	00801.550	00802.548	00803.561	00804.566	00805.546	00806.513	cell = 800 to 807
00807.500	00808.484	00809.451	00810.440	00811.439	00812.472	00813.521	00814.567	cell = 808 to 815
00815.606	00816.629	00817.642	00818.662	00819.672	00820.677	00821.683	00822.684	cell = 816 to 823
00823.714	00824.774	00825.840	00826.868	00827.895	00828.921	00829.932	00830.929	cell = 824 to 831
00831.905	00832.867	00833.825	00834.787	00835.760	00836.749	00837.753	00838.772	cell = 832 to 839
00839.792	00840.822	00841.828	00842.817	00843.788	00844.749	00845.712	00846.707	cell = 840 to 847
00847.694	00848.680	00849.691	00850.701	00851.720	00852.750	00853.790	00854.841	cell = 848 to 855
